Name,Score,Weight
Cassi Davis,4.83458333333,2.4
Yaphet Kotto,6.38285714286,10.78
Max Cantor,6.62,0.5
Sarah Brightman,4.96,1.9
Peter Bygott,6.28,0.5
Lynda Millard,4.87,0.5
Judith Drake,5.8125,2.0
Jamie Babbit,5.39625954198,13.1
Rebecca Spence,5.21,1.9
Uni Park,5.51,0.5
Alice Liddle,5.47,1.3
Joe Harris,5.45,1.3
Shri Vallabh Vyas,5.72,0.5
Sheldon Turner,5.91,1.3
Larry Levin,5.81,2.6
Tom Shadyac,6.03571428571,24.5
Michael Donovan O'Donnell,5.99,1.9
Christopher Bertolini,5.85,2.6
Sian Scott,5.875,1.0
Anne De Salvo,5.64666666667,1.5
Valda Setterfield,6.08,0.5
Van D.,4.39,0.5
Albert Henderson,7.13,0.5
Norman Browning,4.85,0.5
Marc Strange,5.31,0.5
Dave Eggers,6.18,2.6
McKee Anderson,6.21,1.9
Jon Beshara,6.06,0.5
Celine Marget,5.76,0.5
Tony Spiridakis,5.28222222222,1.8
Joshua Jay,6.17,0.5
Lena Headey,6.10389162562,12.18
Joe Cobden,6.36,1.0
Elizabeth Hubbard,7.23,0.5
Grace Garland,6.53,0.5
Robert Getchell,6.65,2.6
Peter Bartlett,6.445,1.0
Paul Lazar,5.93822742475,5.98
Emmy Rossum,6.23716216216,8.88
James Staszkiel,4.6,0.5
Paudge Behan,5.59,0.5
Richard Council,4.65,0.5
Sharon Gault,5.83,0.5
Andrew Prine,6.37,0.5
Meg Kasdan,6.39,0.5
John Dicks,4.69,0.5
Guillaume Tardieu,6.69,0.5
James McCall,6.42,0.5
Jason Dixie,7.57,0.5
Ramiro Fabian,5.98,0.5
Fiona Reid,4.75,0.5
Sandro Kopp,5.1,0.5
Pippa Grandison,6.74,0.5
Lesley Dunlop,7.34,0.5
Pete Postlethwaite,6.14776699029,10.3
Chris Klein,5.21662756598,34.1
Jane Rule,6.35,1.3
Angela Means,6.85,0.5
Delilah Cotto,6.13,0.5
Donna Sorbello,5.98,0.5
Michael Leeson,4.96,1.3
Edwin Walker,4.94,0.5
Edward Herrmann,5.65746987952,13.28
Tyreese Burnett,5.69,0.5
David Loucka,5.83666666667,3.9
Laurel Lyle,5.78,0.5
Tim Maculan,5.28,0.5
Brigitte Nielsen,5.10759259259,6.48
Koran C. Thomas,5.8,0.5
Ivan Furak,5.62,0.5
Adam Scheinman,5.485,2.6
Sasha Hanau,5.05,0.5
David Cameron,6.93,0.5
Tawny Kitaen,5.81,0.5
Fred Ward,5.87338171263,13.78
Missy Hope,6.44,0.5
Kob Tai,5.88,0.5
Bin Li,6.31,5.48
Charlotte Ayanna,4.95,2.0
Amanda Brody,5.9,1.3
Jack Baran,5.49,1.3
Clyde Frost,6.09,0.5
Rudy Webb,6.23,0.5
Ken Kwapis,5.708,17.5
Emily Watson,6.09730418944,21.96
Sylvia Nasar,7.09,1.3
Kyle Stanger,5.86,0.5
Warna Fisher,5.69,0.5
Katherine Fugate,5.48,1.3
Clay Cullen,4.76,0.5
Raini Rodriguez,5.59275862069,2.9
Jeff Healey,5.97,0.5
John Quade,6.48,0.5
Tamer Burjaq,6.25,0.5
Ben Smal,5.46,0.5
Gary Faga,5.96,0.5
Danielle Darrieux,6.66,1.9
Vinh Dang,5.7,0.5
Nicholas Woodeson,5.63,2.0
Simon O'Connor,6.41,0.5
Robert Littman,6.55,0.5
Steve Levitt,5.39,1.3
A. Michael Baldwin,6.96973244147,5.98
Dean Wright,5.6,3.5
Bill Applebaum,6.82,0.5
Ka Vundla,5.8,0.5
Randy Jurgensen,5.5,0.5
Carlos Miranda,6.73,0.5
Granoldo Frazier,4.94,5.48
Woody Harrelson,5.73966480447,71.6
Donald Rumsfeld,7.065,1.0
Ginuwine,4.85,0.5
Jay Laurence,6.51,0.5
Michael Chiklis,5.76558139535,4.3
Tom Wu,3.33,0.5
Francesca De Sapio,7.7,0.5
Gus Hoffman,5.01,0.5
Dexter Fletcher,5.4825,2.0
L. Warren Young,5.725,1.0
Fax Bahr,5.37,1.3
E.G. Marshall,6.045,4.0
Alistair Findlay,6.13,0.5
Marina Bukvicki,4.67,0.5
Jon Bernthal,6.01312320917,6.98
Carolyn Shakespeare-Allen,5.57,0.5
David Eigenberg,5.88268518519,6.48
Tom Brady,4.33291666667,4.8
Mike Judge,6.36239476146,21.38
Martha Fiennes,4.98,3.5
Mojo Nixon,4.51,0.5
David Paul,4.58,5.48
Will Sasso,6.77,0.5
Nia Vardalos,5.2041280209,30.62
Vernon Wells,6.18375,2.4
Mary Kay Cook,6.42,0.5
Kurt Max Runte,5.13333333333,1.5
Peter Krause,5.98655172414,2.9
Michael Carter,6.185,1.0
Bart Freundlich,5.19843373494,8.3
Jay Paxton,6.21,0.5
Perlis Vaisieta,5.65,0.5
Niki Harris,5.83,1.9
Scott Mosier,7.4375,2.4
Bill Hader,6.29966608084,11.38
Demi Moore,5.74629733959,63.9
Ben Mendelsohn,5.44338235294,6.8
Liam Campora,6.01,1.9
Cameron Crowe,6.35223958333,19.2
Berend McKenzie,4.15,0.5
Stacey Mowery,8.26,0.5
Elaine Kao,6.64,0.5
Glenn Berger,6.03333333333,3.9
Michael Rady,6.19,0.5
Myles Thompson,5.5,0.5
Terry A. Burgess,7.29,0.5
Stephen Mendel,6.44,0.5
Richard Waugh,6.19,0.5
Alan Reed,5.2,1.3
Jake Richard Siciliano,5.97,1.5
Kenneth Franklin,6.18,0.5
Nelia Bacmeister,6.64,0.5
George Costigan,6.47,0.5
Mikko Nousiainen,3.82,0.5
Smita Satiani,7.01,0.5
Andr Cayatte,5.83,1.3
Randy Means,6.92,0.5
Molly McGinnis,5.86,0.5
Wilma Bonet,6.03,0.5
Alan Wilder,6.11,1.0
Marcia Wallace,6.76,0.5
Chloe Hunter,5.44,1.0
Lacey Chabert,5.34771855011,9.38
Jude Farese,5.54,0.5
Jonathan Dayton,7.24,3.5
Laura Morelli,5.82,0.5
Tyler James Williams,4.82,1.9
Xing Mang,5.32,0.5
John Tierney,4.5,0.5
Jesse Woodrow,4.43,0.5
Mark Elwes,7.17,0.5
Tricky,6.5,0.5
Elaine Robinson,5.89,0.5
Katharine Towne,5.88992924528,8.48
Thembi Nyandeni,6.43,0.5
Mary Martin,4.67,0.5
Mdchen Amick,5.93291666667,2.4
Quinn Culkin,6.07,0.5
Stuart Greer,5.68,1.0
Anne-Marie Davies,6.76,0.5
Richard Teverson,5.85,0.5
Louis Sachar,6.59,1.3
Scott Thompson,5.5,1.5
Steve Cox,5.64,0.5
Jean-Claude Van Damme,5.38282568807,87.2
Todd R. Jones,4.97,1.3
Nathan Christopher Haase,6.04,0.5
William S. Comanor,5.39,1.3
Jason Andrews,6.35,5.48
Spike Feresten,5.84,1.3
Danielle Chuchran,5.02,1.0
Susan Burgess,7.04,0.5
Jeremy Haft,4.58,3.5
Megan Parker,5.29,0.5
Louis Eppolito,6.24,1.9
Mandy Gonzalez,5.88,5.48
Lori Heuring,4.78555183946,5.98
Kelly Adams,4.9,0.5
David Waller,5.03,0.5
Christopher Gaze,3.59,0.5
Hossein Amini,5.57,1.3
Brian J. Williams,6.09,0.5
Shawn Prince,5.44,0.5
Jane Hawksley,5.32,1.3
Gemma Arterton,5.83349315068,11.68
Dominic Messina,5.14,0.5
Hazelle Goodman,6.24,0.5
Vincent Ebrahim,6.74,0.5
Julia Worsley,5.81,0.5
Jan Hilmer,6.03,0.5
Ellen Dubin,7.36,0.5
Christopher Canady,6.69,0.5
Erin Brockovich-Ellis,6.6,0.5
David Arkin,7.01,5.48
Keith Gibbs,5.61,1.0
Debrianna Mansini,5.92,1.0
Olivia d'Abo,5.34898148148,6.48
Motonori Sakakibara,5.62,3.5
Jay R. Ferguson,5.19333333333,1.5
James M. Connor,6.585,1.0
Ramon Fernandez,5.67,0.5
Allison Dean,5.055,1.0
Catherine Bell,6.36,0.5
Peter Shaffer,6.01,1.3
Alison Claire,6.3,0.5
Mollie Israel,5.27,0.5
Jayne Brook,6.235,1.0
Margot Farley,6.67,0.5
Cornelius Ryan,6.6,1.3
Brooke Elise Bushman,5.95,0.5
Desiree Zurowski,5.51666666667,1.5
John Elsen,6.405,1.0
Vernon Campbell,7.0,0.5
Jean-Yves Bilien,6.18,0.5
Holly Robinson Peete,5.7,1.0
Michelle Harrison,5.71333333333,1.5
Shaun Robinson,5.61,0.5
Chris Stokes,4.68,4.8
Pato Hoffmann,5.03,0.5
Eric Haberman,6.97,5.48
Malgorzata Zajaczkowska,6.43,0.5
Chris Stafford,5.99,5.48
Arnold Vosloo,5.98555555556,6.3
Annette Crosbie,6.47,0.5
Danny Kovacs,6.175,1.0
James Cox,5.64,4.8
Craig Harrison,5.81,1.3
Jeff Bridges,6.01751072961,135.14
Michael Estime,5.79,0.5
Darrell Larson,5.18734567901,6.48
Anne Jackson,7.24,0.5
David Burton,5.12,1.0
Brian Goodman,5.605,1.0
Tom Everett,5.74333333333,1.5
Helen Shaver,6.27130350195,10.28
Douglas Reith,4.67,0.5
Christopher Hampton,5.40095238095,12.6
Devin Ratray,6.42,1.5
David K. Schroeder,5.77,0.5
Billy Burke,5.55313446126,22.46
Peter R. Bird,5.42,0.5
Adriana Millan,6.36,0.5
Brad Carr,6.33,0.5
Amy Jo Johnson,5.29,1.0
Josie Ho,5.77541666667,2.4
Marie Weiss,5.86,1.3
Dan Harris,5.50295081967,6.1
Michael Greene,5.51,1.0
Andrew Wright,6.25,0.5
Aaron Michael Drozin,5.81,0.5
Eddie Frias,5.845,1.0
Jeffrey Sudzin,5.55,0.5
Kente Scott,6.51,0.5
Doug Ballard,4.25,0.5
Dave Engfer,6.42,0.5
Novella Nelson,5.99,2.0
Michael Blevins,5.52,5.48
Maggie Renzi,6.47333333333,1.5
Susan Haskell,5.46,0.5
Raye Birk,5.96,1.5
Morgan Beck,4.8,0.5
Michael Chernus,6.195,1.0
Anthony Griffith,5.85,0.5
Jean Speegle Howard,5.85,1.0
Matt Dillon,5.82316057234,62.9
George Barr McCutcheon,6.06,1.3
Harry Lauter,6.28,0.5
Julia Vaidis-Bogard,5.83,0.5
Billy Porter,6.22,0.5
Elaine Giftos,6.275,1.0
Mary Lynn Rajskub,6.44487179487,3.9
Amber Stevens,5.56,0.5
Mahina Tunui,6.97,0.5
Terri Treas,6.23,0.5
Julie Janney,5.68,0.5
Michael McGill,5.6,0.5
Carol Cawthra Hopcraft,5.67,1.3
Arian Waring Ash,5.48,1.5
Danielle Carter,6.0,0.5
Anthony F. Peragine,6.45,0.5
Ralf Richter,6.98,0.5
Mary Mara,6.205,1.0
Gary Oldman,6.00752186589,75.46
Carlos Grangel,6.55,1.3
Abbas-Ali Roomandi,7.29,0.5
Anna Chancellor,5.6525,2.0
Lanei Chapman,5.97,0.5
Jon Connolly,6.05,1.3
Miranda Otto,6.02112903226,6.2
Ben L. McCain,5.39,0.5
Doug Barron,5.72,0.5
Giulia Lombardi,4.83,0.5
Edie Martin,6.07,0.5
Daniel Sadek,4.3,1.3
Gerard Soeteman,5.09,1.3
Amy Morton,5.45,1.5
Penny Wolfgang,6.55,0.5
Francis X. McCarthy,5.4,2.0
Julienne Davis,6.34,0.5
Miles Chapin,6.375,1.0
Yumi Adachi,5.25,0.5
Greg Lindsay,6.1,0.5
Steve Boyum,4.1,3.5
James McEachin,6.55,1.5
Mike Massey,5.69,0.5
Linda Hamilton,5.84080362538,33.1
Sebastian Shaw,7.54,0.5
Tim Hauser,5.25,0.5
Carmen McRae,5.74,0.5
Matthew Laurance,5.505,1.0
Craig Henne,6.64,0.5
Alan Robertson,4.69,0.5
Joe Eszterhas,5.60375,10.4
John Hamburg,6.0980733945,10.9
Brandon Call,5.75,0.5
Richard Stanley,5.65041666667,4.8
Matt Milne,5.985,1.0
Victor Ferrerira,5.81,0.5
Dwight H. Little,5.6525,14.0
Mark O'Regan,4.0,0.5
Candy Devine,6.1,0.5
Kelly Chapman,5.39,0.5
Richard Schiff,5.62370786517,8.9
Lalanya Masters,5.69,0.5
Scott A. Martin,5.28,0.5
Amberly Marquard,6.78,0.5
Will Stewart,5.105,1.0
Dwayne Boyd,5.785,1.0
Gina Holden,5.8,0.5
Jim King,7.87,0.5
Frank Hoyt Taylor,6.335,1.0
Christopher J. Francis,7.01,0.5
Danny McBride,5.82679964539,22.56
Rinko Kikuchi,5.75,1.9
Jake La Botz,6.29,0.5
Jaime Tirelli,6.17055555556,6.48
Imelda Colindres,5.31,0.5
Lee Cormie,5.45,1.9
David Lean,6.56,3.5
Norman Bartold,4.47,0.5
Liam Hemsworth,5.9424137931,2.9
Kenneth Raybourne,6.05,0.5
Alan Burnett,6.61,1.3
Elizabeth Hunter,5.71,1.3
Loveleen Tandan,7.39,3.5
Stanley Kubrick,7.088,24.0
David Stenn,3.58,1.3
Patricia Hayes,6.815,1.0
Kim Johnston Ulrich,4.3,5.48
Ben Faulkner,5.07,0.5
Al Williams,6.07,1.3
Jeff Pidgeon,6.45,0.5
Robert Curtis Brown,5.9,1.5
Brennan Hillard,4.44,0.5
Christian Brassington,3.93,0.5
Hettienne Park,6.11,0.5
Phil Alden Robinson,5.59604166667,4.8
Gina Belafonte,5.37,0.5
Lulu,5.74,0.5
Susanne Bier,5.93,3.5
Debbi Morgan,6.4925,2.0
Fionnula Flanagan,6.53113360324,9.88
Kylie Minogue,5.29,1.5
Bayard Johnson,4.13,1.3
