imdb_id,title,rating,directors,writers,actors,budget,gross,financial score,score
tt0488604,The Oxford Murders,6.1,['lex de la Iglesia'],"['lex de la Iglesia', 'Jorge Guerricaechevarra', 'and 1 more credit']","['Elijah Wood', 'John Hurt', 'Leonor Watling', 'Julie Cox', 'Jim Carter', 'Alex Cox', 'Burn Gorman', 'Dominique Pinon', 'Anna Massey', 'Danny Sapani', 'Alan David', 'Tim Wallers', 'James Weber Brown', 'Ian East', 'Charlotte Asprey']","$10,000,000 ","$3,607 ",1.61 ,3.85 
tt0317676,House of the Dead,2,['Uwe Boll'],"['Mark A. Altman', 'Dan Bates']","['Jonathan Cherry', 'Tyron Leitso', 'Clint Howard', 'Ona Grauer', 'Ellie Cornell', 'Will Sanderson', 'Enuka Okuma', 'Kira Clavell', 'Sonya Salomaa', 'Michael Eklund', 'David Palffy', 'Jrgen Prochnow', 'Steve Byers', 'Erica Durance', 'Birgit Stein']","$7,000,000 ","$10,199,354 ",5.75 ,3.88 
tt0462219,Camille,5.9,['Gregory Mackenzie'],['Nick Pustay'],"['Sienna Miller', 'James Franco', 'David Carradine', 'Scott Glenn', 'Ed Lauter', 'Mark Wilson', 'Patricia Yeatman', 'Steve Markoff', 'Tyler Hynes', 'Mimi Kuzyk', 'James B. Douglas', 'George Buza', 'Liisa Repo-Martell', 'Nicholas Kaegi', 'J. Adam Brown']","$6,000,000 ","$3,849 ",1.89 ,3.90 
tt0246894,Rollerball,2.9,['John McTiernan'],"['William Harrison', 'William Harrison']","['Chris Klein', 'Jean Reno', 'LL Cool J', 'Rebecca Romijn', 'Naveen Andrews', 'Oleg Taktarov', 'David Hemblen', 'Janet Wright', 'Andrew Bryniarski', 'Kata Dob', 'Alice Poon', 'Lucia Rijker', 'Melissa R. Stubbs', 'Paul Wu', 'Yolanda Hughes-Heying']","$70,000,000 ","$18,990,798 ",4.91 ,3.91 
tt0084316,Megaforce,2.9,['Hal Needham'],"['Bob Kachler', 'James Whittaker']","['Barry Bostwick', 'Michael Beck', 'Persis Khambatta', 'Edward Mulhare', 'George Furth', 'Henry Silva', 'Mike Kulcsar', 'Ralph Wilcox', 'Evan C. Kim', 'Anthony Pena', 'J. Vctor Lpez', 'Michael Carven', 'Bobby Bass', 'Samir Kamoun', 'Youssef Merhi']","$20,000,000 ","$5,675,599 ",4.94 ,3.92 
tt1320239,Burke and Hare,6.1,['John Landis'],"['Piers Ashworth', 'Nick Moorcroft']","['Bill Bailey', 'Tom Wilkinson', 'Michael Smiley', 'Tim Curry', 'Paul Davis', 'Christian Brassington', 'Gabrielle Downey', 'Stuart McQuarrie', 'Simon Pegg', 'Andy Serkis', 'Mike Goodenough', 'Jessica Hynes', 'Robert Fyfe', 'Robert Willox', 'David Schofield']","$10,000,000 ","$4,833 ",1.75 ,3.93 
tt0120618,Breakfast of Champions,4.4,['Alan Rudolph'],"['Kurt Vonnegut Jr.', 'Alan Rudolph']","['Bruce Willis', 'Albert Finney', 'Nick Nolte', 'Barbara Hershey', 'Glenne Headly', 'Lukas Haas', 'Omar Epps', 'Vicki Lewis', 'Buck Henry', 'Ken Hudson Campbell', 'Jake Johannsen', 'Will Patton', 'Chip Zien', 'Owen Wilson', 'Alison Eastwood']","$12,000,000 ","$175,370 ",3.45 ,3.93 
tt1411664,Bucky Larson: Born to Be a Star,3.1,['Tom Brady'],"['Adam Sandler', 'Allen Covert', 'and 1 more credit']","['Nick Swardson', 'Christina Ricci', 'Don Johnson', 'Stephen Dorff', 'Ido Mosseri', 'Kevin Nealon', 'Edward Herrmann', 'Miriam Flynn', 'Mario Joyner', 'Tyler Spindel', 'Meredith Giangrande', 'Nicholas Turturro', 'Mary Pat Gleason', 'Jackie Sandler', 'Dana Goodman']","$10,000,000 ","$2,331,318 ",4.84 ,3.97 
tt1183251,Beyond a Reasonable Doubt,5.7,['Peter Hyams'],"['Peter Hyams', 'Douglas Morrow']","['Jesse Metcalfe', 'Amber Tamblyn', 'Michael Douglas', 'Joel David Moore', 'Orlando Jones', 'Lawrence P. Beron', 'Sewell Whitney', 'David Jensen', 'Sharon K. London', 'Krystal Kofie', 'Randal Reeder', 'Ryan Glorioso', 'Jon McCarthy', 'Grant James', 'Eric Gipson']","$25,000,000 ","$32,409 ",2.24 ,3.97 
tt0373908,The Honeymooners,2.8,['John Schultz'],"['Danny Jacobson', 'David Sheffield']","['Cedric the Entertainer', 'Mike Epps', 'Gabrielle Union', 'Regina Hall', 'Eric Stoltz', 'Jon Polito', 'John Leguizamo', 'Carol Woods', 'Ajay Naidu', 'Arnell Powell', 'Leticia Castillo', 'Chuy Bravo', 'Doreen Keogh', 'Camille Donegan', 'Joanna Dickens']","$27,000,000 ","$12,834,056 ",5.19 ,4.00 
